seed,eroded_km3,deposited_km3,dep_on_land_km3,dep_below_sea_km3,dep_on_land_pct,mean_d_from_1000_2000_m,mean_d_from_0_500_m,cells_1000_2000_to_lt500
42,55019.3,54452.0,5693.7,48758.3,10.5,-76.0,-94.2,5932
1337,48576.1,47936.8,8398.1,39538.7,17.5,-111.2,-34.2,4597
